顧客ID,利用日,トレーニング時間,トレーナー利用
744,2022-03-21,0.8,いいえ
704,2022-08-24,1.4,いいえ
627,2022-10-25,1.7,いいえ
325,2022-03-13,0.8,はい
937,2022-07-06,1.1,いいえ
922,2022-04-26,2.0,いいえ
932,2022-01-02,0.6,はい
980,2022-09-13,1.6,いいえ
704,2022-08-16,1.0,はい
506,2022-07-17,0.9,はい
435,2022-11-12,1.1,はい
543,2022-02-06,0.6,いいえ
16,2022-02-11,1.5,いいえ
187,2022-12-11,1.0,いいえ
86,2022-09-20,0.7,はい
470,2022-02-03,1.3,はい
462,2022-01-08,1.3,はい
629,2022-05-06,1.6,いいえ
123,2022-09-19,1.5,はい
635,2022-01-10,1.1,いいえ
408,2022-05-14,1.7,いいえ
836,2022-12-01,1.9,いいえ
535,2022-01-15,1.2,いいえ
964,2022-02-26,1.1,いいえ
997,2022-02-21,0.6,はい
538,2022-03-23,0.7,いいえ
354,2022-05-18,1.3,はい
108,2022-02-04,0.8,いいえ
287,2022-03-18,0.6,はい
136,2022-03-07,1.8,いいえ
397,2022-01-14,1.6,はい
226,2022-12-02,1.7,いいえ
759,2022-08-14,0.7,いいえ
193,2022-05-01,1.0,いいえ
840,2022-08-09,0.9,いいえ
243,2022-02-16,1.3,はい
28,2022-09-02,0.7,いいえ
973,2022-06-20,1.2,はい
961,2022-07-24,0.9,いいえ
580,2022-09-18,0.7,はい
967,2022-06-13,1.3,いいえ
356,2022-02-11,1.4,はい
879,2022-10-13,1.9,いいえ
266,2022-01-04,1.4,はい
417,2022-08-14,1.9,いいえ
228,2022-08-21,1.9,いいえ
654,2022-04-27,1.0,いいえ
761,2022-06-18,1.4,いいえ
656,2022-11-24,0.9,いいえ
860,2022-01-02,1.3,いいえ
442,2022-01-15,1.0,いいえ
430,2022-07-12,0.6,いいえ
874,2022-08-11,1.0,いいえ
645,2022-04-05,1.8,はい
296,2022-10-23,1.2,いいえ
411,2022-10-26,1.0,いいえ
339,2022-10-07,1.3,はい
256,2022-03-19,1.4,はい
651,2022-01-02,2.0,いいえ
628,2022-04-11,1.5,はい
484,2022-03-03,1.9,いいえ
64,2022-05-22,0.7,いいえ
873,2022-12-26,1.6,はい
686,2022-08-10,1.0,はい
275,2022-11-21,1.8,いいえ
361,2022-11-18,0.9,はい
215,2022-02-11,1.1,いいえ
766,2022-09-02,1.7,いいえ
426,2023-01-01,1.1,はい
307,2022-02-27,1.3,いいえ
809,2022-12-16,0.6,いいえ
580,2022-11-19,1.0,いいえ
788,2022-04-01,1.6,はい
126,2022-10-21,0.6,はい
913,2022-03-03,0.8,いいえ
74,2022-01-12,0.7,はい
116,2022-06-26,1.6,はい
394,2022-10-17,1.4,はい
423,2022-02-03,0.5,はい
726,2022-04-23,0.6,いいえ
582,2022-10-26,1.7,はい
129,2022-12-01,0.7,はい
184,2022-02-26,1.3,はい
88,2022-08-29,0.8,いいえ
41,2022-03-04,1.6,いいえ
223,2022-08-20,1.6,いいえ
457,2022-11-08,1.0,はい
995,2022-06-16,1.5,いいえ
788,2022-01-30,0.9,いいえ
748,2022-12-05,1.5,はい
303,2022-09-05,0.9,はい
281,2022-01-19,1.5,はい
432,2022-06-07,1.9,いいえ
502,2022-11-18,2.0,はい
420,2022-09-09,1.3,いいえ
19,2022-11-29,1.8,はい
607,2022-05-25,1.7,はい
778,2022-09-26,0.6,いいえ
645,2022-03-31,0.7,はい
162,2022-04-04,1.8,いいえ
805,2022-11-15,0.7,はい
187,2022-09-13,0.9,はい
187,2022-09-14,1.2,いいえ
151,2022-09-13,1.2,はい
76,2022-05-19,1.3,いいえ
794,2022-07-25,1.1,いいえ
568,2022-09-29,0.6,いいえ
667,2022-12-05,1.3,はい
774,2022-08-01,1.5,はい
870,2022-09-05,1.4,いいえ
61,2022-10-20,1.3,いいえ
999,2022-12-15,0.5,はい
403,2022-12-17,0.6,いいえ
24,2022-12-23,1.7,はい
577,2022-06-16,1.1,はい
578,2022-12-27,0.8,はい
607,2022-04-24,0.7,はい
117,2022-02-11,1.2,いいえ
3,2022-06-30,0.5,はい
129,2022-05-05,1.5,はい
428,2022-06-11,1.5,はい
883,2022-10-04,1.9,いいえ
244,2022-08-04,1.9,いいえ
352,2022-06-04,1.4,はい
869,2022-07-19,0.7,いいえ
689,2022-08-19,0.9,いいえ
642,2022-07-02,1.0,はい
655,2022-09-24,0.6,はい
398,2022-01-06,1.0,はい
920,2022-06-07,1.1,いいえ
432,2022-04-25,1.9,いいえ
615,2022-11-08,1.0,はい
368,2022-03-13,1.2,いいえ
48,2022-02-25,0.9,いいえ
517,2022-03-26,0.7,いいえ
85,2022-01-31,1.4,はい
136,2022-07-12,1.5,はい
640,2022-08-07,1.8,はい
569,2022-11-07,1.3,いいえ
641,2022-12-09,1.9,いいえ
294,2022-10-24,0.8,いいえ
195,2022-10-18,0.8,はい
582,2022-09-11,1.8,はい
630,2022-02-02,0.6,はい
610,2022-03-06,1.2,はい
503,2022-11-25,1.5,はい
551,2022-08-03,1.3,はい
127,2022-03-17,0.7,いいえ
557,2022-11-26,0.8,はい
64,2022-07-30,1.7,はい
843,2022-09-06,1.7,はい
626,2022-09-10,1.0,いいえ
730,2022-06-18,1.8,いいえ
845,2022-02-01,2.0,いいえ
489,2022-08-28,1.9,いいえ
255,2022-01-30,1.0,いいえ
759,2022-07-12,1.1,いいえ
409,2022-07-21,0.8,いいえ
962,2022-05-19,1.8,いいえ
739,2022-05-09,1.7,はい
226,2022-09-26,1.6,いいえ
608,2022-07-04,0.8,いいえ
404,2022-05-01,1.1,いいえ
878,2022-02-28,1.3,はい
795,2022-11-04,0.8,いいえ
287,2022-08-27,1.1,はい
795,2022-04-03,1.7,はい
663,2022-01-15,1.0,いいえ
412,2022-07-31,1.6,いいえ
247,2022-04-21,0.5,いいえ
176,2022-12-23,1.4,いいえ
499,2022-12-29,1.0,はい
425,2022-03-04,0.8,はい
242,2022-07-13,1.7,いいえ
221,2022-02-22,1.1,いいえ
62,2022-11-02,0.8,はい
880,2022-06-13,1.5,いいえ
243,2022-07-02,1.6,はい
30,2022-12-09,1.2,いいえ
10,2022-07-20,0.6,いいえ
903,2022-07-21,0.7,はい
798,2022-04-16,1.9,いいえ
541,2022-10-15,1.2,はい
576,2022-05-24,1.6,はい
556,2022-02-15,0.9,いいえ
676,2022-03-19,1.2,いいえ
550,2022-03-13,0.8,はい
528,2022-10-30,1.6,はい
103,2022-09-16,0.6,はい
805,2022-09-17,0.6,いいえ
854,2022-01-15,1.6,はい
291,2022-11-10,1.8,はい
576,2022-09-05,1.8,はい
656,2022-11-04,0.7,いいえ
440,2022-09-10,0.8,はい
454,2022-04-21,0.7,はい
877,2022-10-16,0.8,はい
606,2022-07-12,1.9,はい
599,2022-04-29,1.9,いいえ
569,2022-05-01,1.1,いいえ
326,2022-08-29,0.6,いいえ
131,2022-02-17,1.1,いいえ
23,2022-12-11,1.2,いいえ
130,2022-12-03,1.3,いいえ
685,2022-09-16,0.9,はい
100,2022-11-18,1.8,いいえ
378,2022-12-03,1.2,いいえ
330,2022-02-06,1.9,はい
303,2022-12-06,1.5,いいえ
989,2022-06-24,1.1,いいえ
662,2022-09-04,0.8,いいえ
608,2022-04-20,2.0,いいえ
822,2022-08-08,1.9,いいえ
704,2022-12-02,1.6,いいえ
82,2022-10-02,1.9,はい
155,2022-08-20,1.3,はい
791,2022-06-29,1.8,はい
459,2022-10-28,0.6,はい
62,2022-08-22,0.7,いいえ
212,2022-02-01,1.0,いいえ
371,2022-10-10,0.8,いいえ
706,2022-05-22,1.2,はい
93,2022-04-21,0.9,いいえ
803,2022-12-12,1.0,はい
121,2022-11-06,1.7,はい
696,2022-05-16,1.9,はい
407,2022-07-28,1.3,いいえ
936,2022-09-24,0.8,いいえ
313,2022-01-10,1.2,いいえ
563,2022-12-12,0.6,いいえ
670,2022-07-12,1.3,いいえ
870,2022-05-08,1.4,いいえ
521,2022-05-26,0.9,はい
118,2022-04-18,1.2,いいえ
787,2022-04-18,1.8,はい
100,2022-04-21,1.1,いいえ
403,2022-05-28,1.3,はい
97,2022-02-20,1.9,いいえ
514,2022-12-28,1.8,いいえ
753,2022-12-03,1.6,はい
594,2022-06-28,1.6,はい
814,2022-06-06,1.7,はい
166,2022-02-05,1.8,はい
723,2022-12-27,1.0,はい
41,2022-03-31,1.5,いいえ
382,2022-04-05,0.8,はい
229,2022-04-08,1.6,いいえ
2,2022-02-02,0.8,いいえ
695,2022-07-24,0.6,いいえ
822,2022-10-07,1.0,はい
39,2022-06-06,1.7,いいえ
396,2022-08-06,2.0,いいえ
426,2022-01-23,1.4,いいえ
31,2022-10-02,1.8,いいえ
790,2022-12-03,1.7,いいえ
801,2022-09-01,1.5,はい
714,2022-03-06,1.8,いいえ
964,2022-12-03,1.3,いいえ
64,2022-09-03,1.1,いいえ
508,2022-08-14,1.3,はい
211,2022-07-22,1.9,はい
877,2022-10-22,1.5,はい
337,2022-06-13,1.1,いいえ
652,2022-09-23,1.3,はい
617,2022-04-25,0.7,いいえ
823,2022-11-05,1.0,はい
285,2022-11-09,1.6,いいえ
59,2022-10-22,1.7,はい
324,2022-10-28,0.6,はい
187,2022-02-13,1.2,いいえ
459,2022-04-20,1.2,はい
429,2022-06-21,1.9,はい
812,2022-06-20,1.5,いいえ
541,2022-07-16,1.5,いいえ
416,2022-06-23,1.7,はい
243,2022-01-25,1.9,はい
320,2022-07-02,0.6,はい
149,2022-04-08,0.8,いいえ
393,2022-06-12,1.0,はい
923,2022-03-07,1.8,いいえ
58,2022-03-26,1.2,いいえ
870,2022-10-22,1.9,はい
558,2022-08-24,1.1,はい
592,2022-03-31,1.5,はい
32,2022-11-15,1.1,いいえ
672,2022-01-05,0.8,いいえ
81,2022-09-28,1.1,はい
757,2022-12-30,1.9,はい
291,2022-01-05,1.0,いいえ
926,2022-08-03,1.8,いいえ
806,2022-12-10,1.5,いいえ
293,2022-08-28,0.9,はい
288,2022-06-18,1.1,はい
698,2022-03-28,1.5,いいえ
136,2022-03-16,1.0,いいえ
470,2022-11-30,1.5,いいえ
247,2023-01-01,0.9,いいえ
20,2022-12-10,0.5,はい
801,2022-09-03,0.6,いいえ
476,2022-02-23,2.0,はい
257,2022-02-15,1.8,はい
724,2022-04-09,1.1,いいえ
245,2022-11-04,0.9,いいえ
148,2022-03-25,1.5,いいえ
649,2022-04-21,1.9,いいえ
762,2022-09-02,1.2,いいえ
883,2022-11-05,1.8,はい
472,2022-04-20,1.4,はい
298,2022-12-04,1.4,いいえ
504,2022-03-22,2.0,いいえ
574,2022-06-05,1.2,いいえ
499,2022-07-13,0.9,いいえ
717,2022-10-20,1.1,はい
421,2022-06-14,1.5,はい
324,2022-12-29,1.1,はい
946,2022-12-02,2.0,いいえ
576,2022-03-09,2.0,はい
292,2022-03-03,1.8,はい
576,2022-10-19,1.7,はい
206,2022-04-04,1.4,いいえ
991,2022-07-06,0.5,はい
349,2022-05-10,1.3,はい
574,2022-04-19,1.1,いいえ
296,2022-08-20,1.0,いいえ
905,2022-11-18,1.5,はい
542,2022-07-30,1.8,はい
592,2022-02-10,1.7,いいえ
99,2022-02-12,1.1,はい
885,2022-03-17,0.7,いいえ
741,2022-09-29,1.7,はい
66,2022-04-02,1.8,はい
404,2022-07-25,1.1,はい
669,2022-01-20,1.6,はい
767,2022-09-01,1.0,いいえ
639,2022-06-24,2.0,はい
9,2022-08-17,1.6,いいえ
503,2022-08-17,1.4,はい
244,2022-03-01,0.7,はい
671,2022-06-16,1.1,はい
161,2022-06-03,1.4,いいえ
70,2022-12-23,0.6,はい
659,2022-04-08,1.3,はい
372,2022-11-20,1.4,いいえ
224,2022-12-06,0.6,いいえ
137,2022-05-01,1.6,いいえ
926,2022-03-24,0.5,いいえ
217,2022-08-26,1.0,はい
869,2022-09-01,1.9,いいえ
608,2022-01-17,0.9,いいえ
986,2022-10-23,1.4,いいえ
935,2022-12-31,1.4,いいえ
52,2022-02-25,1.2,いいえ
139,2022-03-23,0.8,いいえ
698,2022-02-21,0.6,いいえ
892,2022-08-06,0.6,いいえ
921,2022-09-09,1.7,いいえ
934,2022-05-10,1.2,はい
824,2022-01-19,1.6,はい
157,2022-09-08,1.5,はい
382,2022-09-29,1.3,はい
80,2022-05-12,1.0,いいえ
262,2022-01-31,0.6,はい
628,2022-07-05,0.7,いいえ
419,2022-05-01,1.3,はい
129,2022-03-27,1.3,はい
675,2022-03-29,1.3,いいえ
427,2022-07-22,1.2,いいえ
486,2022-12-15,1.4,はい
251,2022-01-08,1.8,いいえ
697,2022-04-14,0.6,はい
739,2022-03-20,0.8,はい
41,2022-01-19,1.3,はい
882,2022-07-01,0.8,いいえ
228,2022-02-22,0.7,いいえ
122,2022-03-27,1.4,いいえ
747,2022-11-08,0.7,いいえ
512,2022-10-05,1.8,いいえ
232,2022-02-18,0.7,いいえ
385,2022-02-11,0.8,いいえ
975,2022-11-25,1.7,はい
716,2022-11-02,1.2,はい
590,2022-05-04,1.7,はい
458,2022-06-22,2.0,いいえ
672,2022-05-04,1.0,はい
832,2022-08-24,0.7,はい
432,2022-01-28,1.4,いいえ
136,2022-07-08,1.8,いいえ
278,2022-04-13,2.0,はい
544,2022-08-27,1.2,はい
265,2022-08-04,0.5,いいえ
188,2022-01-28,1.7,いいえ
721,2022-07-05,1.1,いいえ
637,2022-10-11,0.7,いいえ
618,2022-11-01,1.4,いいえ
118,2022-12-18,0.7,いいえ
842,2022-06-02,0.8,いいえ
444,2022-11-06,1.8,いいえ
806,2022-11-25,1.4,はい
284,2022-08-24,0.7,いいえ
296,2022-01-07,1.5,はい
647,2022-02-05,0.5,いいえ
904,2022-07-18,1.0,いいえ
979,2022-03-24,1.8,いいえ
488,2022-11-28,0.6,はい
718,2022-05-20,0.5,はい
134,2022-07-31,0.8,はい
617,2022-03-17,1.1,いいえ
135,2022-01-14,1.1,はい
133,2022-03-28,1.5,いいえ
663,2022-05-02,1.4,いいえ
580,2022-11-19,1.8,いいえ
831,2022-05-30,0.9,はい
117,2022-12-05,0.9,いいえ
913,2022-05-11,1.4,いいえ
553,2022-03-30,0.8,いいえ
864,2022-12-17,1.4,いいえ
469,2022-08-13,1.1,いいえ
774,2022-11-10,1.6,いいえ
901,2022-04-19,0.6,はい
682,2022-04-05,0.8,はい
194,2022-12-30,0.8,いいえ
622,2022-02-10,1.8,はい
444,2022-12-30,1.2,いいえ
795,2022-01-14,1.0,いいえ
35,2022-04-18,1.4,はい
411,2022-12-02,1.4,いいえ
658,2022-08-09,1.0,いいえ
841,2022-10-20,1.0,はい
518,2022-11-10,0.5,いいえ
534,2022-01-01,1.8,いいえ
260,2022-01-27,1.2,いいえ
343,2022-06-10,1.3,はい
962,2022-02-04,0.7,はい
837,2022-01-29,1.1,いいえ
154,2022-07-09,1.3,はい
762,2022-03-19,1.3,はい
736,2022-12-13,1.9,はい
258,2022-04-06,2.0,いいえ
367,2022-05-22,1.7,はい
683,2022-06-02,1.3,いいえ
425,2022-10-24,1.9,いいえ
475,2022-10-09,0.6,はい
899,2022-11-30,1.1,はい
573,2022-08-26,1.0,いいえ
433,2022-11-15,1.6,はい
258,2022-11-04,1.9,いいえ
873,2022-04-08,1.3,いいえ
149,2022-04-02,1.1,はい
965,2022-07-12,1.9,いいえ
476,2022-09-20,1.2,いいえ
482,2022-10-09,2.0,はい
96,2022-05-05,1.3,はい
15,2022-04-01,0.9,はい
531,2022-08-27,1.3,はい
583,2022-04-23,1.1,はい
997,2022-11-22,0.8,はい
132,2022-03-23,1.8,はい
53,2022-03-26,0.7,はい
463,2022-11-17,1.1,いいえ
410,2022-02-03,0.6,はい
906,2022-09-24,0.9,いいえ
605,2022-05-18,1.6,はい
135,2022-09-16,0.7,はい
794,2022-09-27,0.5,はい
287,2022-12-08,1.5,いいえ
436,2022-11-19,0.8,いいえ
198,2022-08-26,0.8,いいえ
395,2022-11-11,1.2,はい
286,2022-10-20,1.2,いいえ
967,2022-09-23,1.4,はい
532,2022-02-03,0.9,はい
394,2022-12-10,1.3,はい
395,2022-03-18,1.9,はい
306,2022-08-24,1.7,いいえ
811,2022-03-08,1.0,はい
767,2022-12-28,1.1,いいえ
71,2022-01-14,0.9,はい
664,2022-04-25,0.7,はい
839,2022-11-14,1.4,はい
2,2022-10-12,1.7,いいえ
938,2022-09-15,1.2,はい
511,2022-01-22,1.6,はい
394,2022-08-12,1.8,はい
171,2022-11-19,0.6,はい
960,2022-03-28,0.6,はい
413,2022-10-06,1.0,はい
449,2022-12-31,0.7,いいえ
555,2022-09-04,1.8,いいえ
734,2022-11-12,1.1,はい
840,2022-08-11,1.4,いいえ
454,2022-02-04,1.1,いいえ
769,2022-05-31,1.0,はい
900,2022-10-23,1.7,はい
945,2022-02-19,1.9,はい
587,2022-03-25,1.9,いいえ
662,2022-10-04,0.7,いいえ
450,2022-04-26,1.9,いいえ
282,2022-12-08,0.7,はい
850,2022-02-28,1.9,いいえ
33,2022-03-26,0.7,はい
543,2022-07-29,1.6,はい
274,2022-03-20,0.6,いいえ
49,2022-09-10,0.5,いいえ
819,2022-01-14,1.7,いいえ
225,2022-04-16,1.5,はい
712,2022-08-03,1.9,はい
991,2022-12-23,1.2,いいえ
620,2022-11-25,1.6,はい
393,2022-09-27,1.0,はい
442,2022-04-15,1.0,はい
650,2022-06-07,1.5,いいえ
45,2022-12-21,1.4,いいえ
351,2022-12-04,1.8,はい
884,2022-07-22,1.8,いいえ
219,2022-02-01,1.4,はい
935,2022-12-08,1.1,いいえ
192,2022-04-26,1.8,はい
922,2022-06-13,0.5,いいえ
619,2022-11-12,1.3,はい
822,2022-11-21,1.4,はい
100,2022-07-24,1.7,いいえ
671,2022-03-01,1.0,はい
179,2022-10-27,0.6,いいえ
182,2022-10-07,1.8,いいえ
75,2022-06-20,0.6,いいえ
614,2022-04-23,1.7,いいえ
861,2022-07-06,1.6,いいえ
76,2022-08-07,0.7,いいえ
783,2022-02-06,1.0,いいえ
930,2022-01-30,1.1,はい
61,2022-10-17,1.3,はい
740,2022-08-16,1.9,いいえ
318,2022-09-29,1.0,いいえ
52,2022-04-18,1.1,はい
345,2022-03-05,0.7,いいえ
862,2022-10-06,1.8,いいえ
468,2022-12-18,1.2,はい
268,2022-05-27,1.9,はい
87,2022-11-18,0.9,はい
632,2022-04-13,0.8,はい
259,2022-04-01,0.8,いいえ
995,2022-01-28,0.8,いいえ
983,2022-07-17,1.8,はい
888,2022-11-07,1.0,はい
401,2022-08-02,0.9,いいえ
707,2022-10-09,1.3,いいえ
579,2022-06-04,1.8,はい
775,2022-08-24,0.7,はい
603,2022-07-11,0.7,いいえ
127,2022-09-15,0.7,いいえ
329,2022-01-03,1.2,はい
147,2022-02-04,1.5,いいえ
834,2022-01-26,0.5,はい
437,2022-01-25,1.7,いいえ
442,2022-11-20,0.5,いいえ
203,2022-03-22,1.4,いいえ
886,2022-06-18,1.3,いいえ
627,2022-07-03,1.8,いいえ
86,2022-12-12,1.7,いいえ
893,2022-12-10,0.9,いいえ
230,2022-08-18,1.9,いいえ
131,2022-03-07,0.9,いいえ
615,2022-08-08,1.6,いいえ
453,2022-08-27,0.9,はい
523,2022-08-03,1.2,いいえ
302,2022-04-28,1.4,いいえ
783,2022-06-22,1.2,いいえ
464,2022-01-08,1.7,はい
117,2022-02-09,0.9,いいえ
277,2022-01-17,1.5,はい
740,2022-07-12,1.7,いいえ
731,2022-06-24,0.6,はい
832,2022-09-20,1.7,いいえ
760,2022-01-24,0.7,はい
688,2022-04-04,0.5,はい
83,2022-11-25,1.1,いいえ
44,2022-09-05,0.6,いいえ
343,2022-10-28,1.5,いいえ
935,2022-07-20,0.9,はい
996,2022-07-31,0.9,いいえ
663,2022-08-07,0.7,いいえ
487,2022-07-20,1.8,いいえ
182,2022-06-17,1.5,いいえ
677,2022-02-28,1.9,はい
615,2022-09-03,1.8,はい
937,2022-04-20,1.0,はい
894,2022-11-17,1.1,はい
494,2022-08-06,0.6,はい
757,2022-04-26,1.4,いいえ
930,2022-01-30,1.7,いいえ
392,2022-05-09,1.7,いいえ
378,2022-10-08,1.5,はい
230,2022-02-22,0.8,いいえ
323,2022-05-31,1.7,はい
340,2022-01-01,1.6,はい
927,2022-01-26,0.8,いいえ
975,2022-02-28,0.6,いいえ
632,2022-08-23,2.0,はい
627,2022-05-31,0.7,いいえ
394,2022-12-25,1.1,いいえ
787,2022-08-08,0.7,はい
395,2022-02-06,1.8,いいえ
611,2022-06-22,1.5,いいえ
314,2022-01-23,1.1,はい
938,2022-11-24,1.9,いいえ
205,2022-11-17,1.3,いいえ
721,2022-08-24,0.6,はい
154,2022-11-18,1.5,はい
289,2022-08-03,0.7,いいえ
411,2022-04-16,1.4,はい
307,2022-09-09,0.6,いいえ
941,2022-03-11,0.7,いいえ
628,2022-09-16,1.9,はい
773,2022-01-14,1.2,いいえ
142,2022-10-22,0.9,はい
955,2022-05-17,1.7,いいえ
194,2022-12-02,1.3,いいえ
777,2022-07-30,0.9,はい
636,2022-10-11,1.4,はい
568,2022-03-26,0.7,はい
855,2022-04-19,1.2,はい
663,2022-04-10,1.0,いいえ
932,2022-11-27,1.0,はい
399,2022-10-29,0.8,はい
791,2022-10-30,1.6,いいえ
322,2022-12-30,0.7,いいえ
635,2022-09-20,1.3,いいえ
970,2022-12-05,1.3,はい
43,2022-08-25,1.3,いいえ
551,2022-01-01,1.1,はい
45,2022-06-09,1.8,いいえ
17,2022-11-23,1.7,はい
242,2022-08-21,0.7,いいえ
411,2022-09-03,1.3,いいえ
622,2022-11-05,1.1,はい
403,2022-01-11,1.4,はい
559,2022-03-25,1.7,いいえ
418,2022-10-08,0.6,いいえ
880,2022-10-05,1.5,いいえ
847,2022-01-29,1.3,いいえ
433,2022-11-26,0.5,いいえ
828,2022-11-15,1.1,いいえ
167,2022-02-13,1.0,いいえ
406,2022-07-17,2.0,いいえ
951,2022-11-28,1.6,いいえ
583,2022-04-12,1.4,はい
998,2022-05-06,0.8,はい
187,2022-09-14,1.2,はい
817,2022-04-03,1.4,いいえ
967,2022-07-01,0.8,いいえ
472,2022-03-22,1.2,はい
144,2022-07-10,1.8,いいえ
281,2022-08-22,1.7,はい
519,2022-10-23,1.6,はい
330,2022-05-30,0.6,いいえ
794,2022-07-09,0.8,はい
412,2022-03-18,1.0,はい
200,2022-02-20,1.1,はい
763,2022-06-01,1.0,はい
468,2022-12-30,1.0,いいえ
358,2022-07-25,1.6,はい
361,2022-10-01,1.4,はい
233,2022-09-19,0.6,はい
868,2022-08-31,1.4,いいえ
147,2022-03-04,0.9,いいえ
192,2022-05-09,0.6,いいえ
992,2022-11-14,1.9,はい
685,2022-06-23,1.9,いいえ
302,2022-01-31,1.5,いいえ
546,2022-07-21,0.9,はい
198,2022-05-22,1.3,はい
842,2022-07-03,0.7,いいえ
253,2022-10-28,0.6,いいえ
574,2022-09-15,1.6,はい
77,2022-06-22,1.5,いいえ
692,2022-03-02,0.9,はい
696,2022-03-17,1.2,はい
687,2022-01-20,1.7,はい
657,2022-06-17,1.6,いいえ
972,2022-08-21,1.1,はい
552,2022-07-18,0.8,いいえ
644,2022-03-12,1.7,いいえ
741,2022-09-30,0.7,はい
397,2022-11-11,1.0,いいえ
453,2022-11-23,1.2,いいえ
596,2022-04-18,1.8,いいえ
914,2022-05-31,1.2,いいえ
57,2022-03-07,0.9,いいえ
739,2022-04-16,1.9,はい
817,2022-07-13,0.7,はい
367,2022-04-06,1.0,はい
342,2022-12-01,1.5,いいえ
104,2022-06-21,1.7,いいえ
719,2022-12-23,1.5,いいえ
238,2022-11-18,2.0,いいえ
270,2022-05-07,0.7,いいえ
644,2022-11-19,0.6,いいえ
766,2022-07-07,1.2,はい
671,2022-07-25,1.8,いいえ
903,2022-05-07,1.8,はい
892,2022-04-30,0.6,いいえ
533,2022-01-02,1.5,いいえ
217,2022-08-03,1.6,はい
361,2022-07-23,0.9,はい
561,2022-07-09,1.5,はい
175,2022-10-07,1.3,いいえ
471,2022-03-31,1.4,いいえ
232,2022-02-12,1.3,いいえ
727,2022-12-15,0.6,いいえ
831,2022-04-25,1.6,はい
236,2022-11-09,0.8,いいえ
272,2022-08-05,1.3,はい
437,2022-11-01,1.2,いいえ
652,2022-12-29,1.4,いいえ
182,2022-08-04,0.7,いいえ
147,2022-05-16,1.6,いいえ
576,2022-07-02,1.5,いいえ
626,2022-03-26,0.9,いいえ
387,2022-09-06,1.3,いいえ
371,2022-02-02,1.6,はい
264,2022-01-16,1.2,はい
135,2022-05-31,0.5,いいえ
606,2022-04-02,0.9,いいえ
610,2022-09-21,1.2,いいえ
53,2022-12-21,1.4,いいえ
875,2022-12-09,1.1,はい
487,2022-06-23,1.9,いいえ
221,2022-06-28,1.6,はい
471,2022-01-31,0.8,はい
909,2022-08-22,1.8,はい
792,2022-10-22,1.2,いいえ
516,2022-11-08,0.7,いいえ
663,2022-03-18,1.4,いいえ
625,2022-08-26,0.9,いいえ
220,2022-09-30,0.7,いいえ
379,2022-03-31,1.1,いいえ
806,2022-05-29,1.9,いいえ
611,2022-06-24,1.7,いいえ
237,2022-04-01,1.4,いいえ
747,2022-02-01,1.0,はい
684,2022-09-04,1.1,いいえ
133,2022-08-05,0.6,いいえ
101,2022-08-17,1.9,いいえ
675,2022-12-12,0.6,はい
97,2022-06-22,1.8,いいえ
311,2022-04-20,0.8,はい
761,2022-09-11,1.5,いいえ
396,2022-10-25,1.8,はい
64,2022-10-31,1.0,はい
493,2022-10-05,0.7,いいえ
